page,chunk_id,label,bootstrap_score,text_preview,full_text
6,6_2,Project Management,2,"......................... ................................ ................................ .. 12 
E. Cost and Financing Plan  ................................ ................................ ...............  12 
F. Implementation Readiness and Arrangements  ................................ ..............  13 
4. PROJECT ASSESSMENT  ................................ ..................................","......................... ................................ ................................ .. 12 
E. Cost and Financing Plan  ................................ ................................ ...............  12 
F. Implementation Readiness and Arrangements  ................................ ..............  13 
4. PROJECT ASSESSMENT  ................................ ................................ ...................  15 
A. Technical  ................................ ................................ ................................ ....... 15 
B. Economic and Financial Analysis  ................................ ................................ .. 19 
C. Fiduciary and Governance  ................................ ................................ ............  20 
D. Environmental and Social  ................................ ................................ ..............  22 
E. Gender Equality and Social Inclusion  ................................ ............................  25 
F. "
6,6_3,Information Technology,4,"l  ................................ ................................ ..............  22 
E. Gender Equality and Social Inclusion  ................................ ............................  25 
F. Climate Change  ................................ ................................ .............................  26 
G. Risks and Mitigation Measures  ................................ ...................","l  ................................ ................................ ..............  22 
E. Gender Equality and Social Inclusion  ................................ ............................  25 
F. Climate Change  ................................ ................................ .............................  26 
G. Risks and Mitigation Measures  ................................ ................................ ...... 26 
Annex 1: Results Monitoring Framework  ................................ ................................ .... 29 
Annex 2: Economic and Financial Analysis  ................................ ................................  30 
Annex 3: Sovereign Credit Fact Sheet  ................................ ................................ ........  36 
Annex 4: GESI Assessment and Strategy  ................................ ................................ .. 39 
Annex 5: Paris Agreement Alignment Assessment  ................................ .....................  43 
Annex 6:"
6,6_4,Legal & Compliance,1,"d Strategy  ................................ ................................ .. 39 
Annex 5: Paris Agreement Alignment Assessment  ................................ .....................  43 
Annex 6: Graphic of the Metro Network of Kochi  ................................ ........................  45","d Strategy  ................................ ................................ .. 39 
Annex 5: Paris Agreement Alignment Assessment  ................................ .....................  43 
Annex 6: Graphic of the Metro Network of Kochi  ................................ ........................  45"
7,7_1,Project Management,10,"2 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
1. SUMMARY SHEET  
 
Project No.  P000795  
Project Name  Kochi Metro Rail Project - Phase II  
AIIB Member  Republic of India  
Borrower  Republic of India  
Project Implementation 
Entity  Kochi Metro Rail Limited  (KMRL)  
Sector  
Subsector  Transport  
Urban Transport  
Alignment with AIIB's 
thematic priorities  Green infrast...","2 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
1. SUMMARY SHEET  
 
Project No.  P000795  
Project Name  Kochi Metro Rail Project - Phase II  
AIIB Member  Republic of India  
Borrower  Republic of India  
Project Implementation 
Entity  Kochi Metro Rail Limited  (KMRL)  
Sector  
Subsector  Transport  
Urban Transport  
Alignment with AIIB's 
thematic priorities  Green infrastructur e and Private Capital Mobilization  
Project Objective  The project’s objective is to  improve urban mobility on 
the Jawaharlal Nehru (JLN) Stadium  – Smart City  
corridor via Kakkanad  in Kochi.  
Project Description  The project will support the implementation of  Phase II 
of Kochi Metro , which  will include the construction of an 
elevated, electrified metro rail system of 11.2 km and 11 
stations along the JLN Stadium – Smart City  corridor , 
serving Kakkanad area, a  densely populated and fast -
growing employment hub. It will finance (i) the design 
and build of a viaduct str"
7,7_2,Information Technology,5,"d 11 
stations along the JLN Stadium – Smart City  corridor , 
serving Kakkanad area, a  densely populated and fast -
growing employment hub. It will finance (i) the design 
and build of a viaduct structure, stations, and tracks; and 
(ii) procurement and installation of systems, including 
signaling, telecommunications,  auxiliary main 
substation,  traction and power supply facilities.  
Impleme...","d 11 
stations along the JLN Stadium – Smart City  corridor , 
serving Kakkanad area, a  densely populated and fast -
growing employment hub. It will finance (i) the design 
and build of a viaduct structure, stations, and tracks; and 
(ii) procurement and installation of systems, including 
signaling, telecommunications,  auxiliary main 
substation,  traction and power supply facilities.  
Implementation  
Period  Start Date: Q 3 2024  
End Date: Q4 2027 
Expected Loan Closing 
Date  Q4 2027 
Cost and Financing Plan  Project cost: USD229.88 million  
Project financing plan : 
AIIB loan: USD122.32 million  
GOI contribution: USD40.76 million  
GOK contribution: USD66.80 million  
Size and Terms of AIIB 
Loan  USD 122.3 2 million  
AIIB’s standard interest rate for sovereign -backed 
loans.  
Co-financing  
(Size and Terms)  No 
Environmental  
and Social  Category  Category A  
Risk (Low/Medium/High)  Medium  
Conditions for 
Effectiveness  Legal opinion on the Loan Agreement  received "
7,7_3,Project Management,4," 
Co-financing  
(Size and Terms)  No 
Environmental  
and Social  Category  Category A  
Risk (Low/Medium/High)  Medium  
Conditions for 
Effectiveness  Legal opinion on the Loan Agreement  received . 
Key Covenants  • To retain and maintain the  General Consultant (GC) 
throughout the project implementation.  
• To engage an independent third -party monitoring 
agency , acceptable  to AIIB  by M..."," 
Co-financing  
(Size and Terms)  No 
Environmental  
and Social  Category  Category A  
Risk (Low/Medium/High)  Medium  
Conditions for 
Effectiveness  Legal opinion on the Loan Agreement  received . 
Key Covenants  • To retain and maintain the  General Consultant (GC) 
throughout the project implementation.  
• To engage an independent third -party monitoring 
agency , acceptable  to AIIB  by March 2025 , to verify 
project environmental and social ( E&S) compliance"
8,8_1,Procurement,7,"3 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
and report every six months  throughout the project 
implementation.   
• To engage the chartered accountant firm appointed 
by the  Comptroller  and Auditor General (CAG)’s 
Office  no later than six months after the end of each 
fiscal year  to conduct the external audit of the 
Project Financial Statements ( PFS) in accordance  ...","3 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
and report every six months  throughout the project 
implementation.   
• To engage the chartered accountant firm appointed 
by the  Comptroller  and Auditor General (CAG)’s 
Office  no later than six months after the end of each 
fiscal year  to conduct the external audit of the 
Project Financial Statements ( PFS) in accordance  
with Section 5.09 of the General Conditions .  
Conditions for 
Disbursement  The Project Implementation Manual (PIM) to be 
prepared by KMRL and approved  by AIIB.  
Retroactive Financing 
(Loan % and dates)  All eligible expenditures under the project, incurred in 
compliance with AIIB’s procurement policies and 
guidelines and in respect of which payments were made 
not more than 1 8 months prior to the date of the loan 
agreement, up to 30 percent  of the loan’s amount . 
Policy Assurance  The Vice President, Policy and Strategy, confirms an 
overall assurance that AIIB is in compliance w"
8,8_2,Procurement,7,"ior to the date of the loan 
agreement, up to 30 percent  of the loan’s amount . 
Policy Assurance  The Vice President, Policy and Strategy, confirms an 
overall assurance that AIIB is in compliance with the 
policies applicable to the project . 
Economic Capital (Ecap) 
Consumption  USD 13.89  million  
ECap Ratio: 14.12 percent  
Project Approval  President  
 
President  Jin Liqun  
Acting Vice...","ior to the date of the loan 
agreement, up to 30 percent  of the loan’s amount . 
Policy Assurance  The Vice President, Policy and Strategy, confirms an 
overall assurance that AIIB is in compliance with the 
policies applicable to the project . 
Economic Capital (Ecap) 
Consumption  USD 13.89  million  
ECap Ratio: 14.12 percent  
Project Approval  President  
 
President  Jin Liqun  
Acting Vice President  and 
Director General  Rajat Misra , Public Sector Clients , Region 1  
Manager  André s Pizarro, Principal Investment Of ficer 
Team Leader  Tomá s Herrero Diez , Investment Officer 
Team Members  Purnendu Pathak  (Procurement Specialist ) 
Jurminla Jurminla  (Senior Procurement Specialist ) 
David Rollinson ( Senior Environment Specialist ) 
Siva Rama Krishna Sastry Jyosyula  (Senior  Social 
Development Specialist ) 
Alberto Alcubilla (Senior Investment Solutions  
Specialist)  
Shodi Nazarov  (Financial Management Specialist ) 
David Hartcher  (Senior Finance Officer ) 
Christo"
8,8_3,Finance,1,"  Social 
Development Specialist ) 
Alberto Alcubilla (Senior Investment Solutions  
Specialist)  
Shodi Nazarov  (Financial Management Specialist ) 
David Hartcher  (Senior Finance Officer ) 
Christopher Damandl  (Senior  Counsel ) 
Kezia Paladina  (Associate  Counsel ) 
Md. Towshikur Rahman  (Investment Associate ) 
Shiwen Dong  (Admin Assistant )","  Social 
Development Specialist ) 
Alberto Alcubilla (Senior Investment Solutions  
Specialist)  
Shodi Nazarov  (Financial Management Specialist ) 
David Hartcher  (Senior Finance Officer ) 
Christopher Damandl  (Senior  Counsel ) 
Kezia Paladina  (Associate  Counsel ) 
Md. Towshikur Rahman  (Investment Associate ) 
Shiwen Dong  (Admin Assistant )"
9,9_1,Procurement,7,"4 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
2. CONTEXT  
1. Macroeconomic Context.  The population in India  has grown more than 
threefold since 1950 , resulting in  a young population  of over 1.4 billion ,1 offering  a 
sizeable  labor force and a booming  consumer market. The country is  one of the world’s 
largest economies, powered by a mix of agriculture, manufacturin...","4 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
2. CONTEXT  
1. Macroeconomic Context.  The population in India  has grown more than 
threefold since 1950 , resulting in  a young population  of over 1.4 billion ,1 offering  a 
sizeable  labor force and a booming  consumer market. The country is  one of the world’s 
largest economies, powered by a mix of agriculture, manufacturing, and services sectors . 
Despite the setback caused by COVID -19, which resulted in an economic contraction of 
nearly 5.8 percent in 2020, the economy rebounded strongly to 7.2 percent in 2022 .2 
The anticipated rate of increase for the Gross Domestic Product (GDP) is estimated to 
be 5.9 percent in 2023 and  6.3 percent  in 2024 .3 In addition, n oticeable  progress has 
been observed in reducing extreme poverty, with estimates suggesting that between 
2011 and 2019, the portion of the population living in extreme poverty  (defined as living 
below USD2.15 per person per day ) was halved "
9,9_2,Procurement,6,"cing extreme poverty, with estimates suggesting that between 
2011 and 2019, the portion of the population living in extreme poverty  (defined as living 
below USD2.15 per person per day ) was halved .4 India has an aspiration to achieve 
high middle -income status by 2047.5 Nevertheless, the issue of inequality continues to 
endure, as seen by a Gini index of approximately 35 for the preceding tw...","cing extreme poverty, with estimates suggesting that between 
2011 and 2019, the portion of the population living in extreme poverty  (defined as living 
below USD2.15 per person per day ) was halved .4 India has an aspiration to achieve 
high middle -income status by 2047.5 Nevertheless, the issue of inequality continues to 
endure, as seen by a Gini index of approximately 35 for the preceding two decades .6 
Despite encouraging employment trends since 2020, the employment to population (15+) 
ratio in 2022 is still less than 50 percent  and concerns  linger  about job quality, wage  
growth, and women ’s underrepresentation in the workforc e.7 Recognizing the se 
challenges  and to spur economic growth and unleash India ’s full potential , in 2018, the 
Government  of India (GOI)  suggested way forwards  and reforms  focused on  four 
sections : (i) economic drivers, (ii) infrastructure, (iii) inclusion, and (iv) governance .8  
2. Urbanization  of India . India ’s urbanization is ga"
9,9_3,Information Technology,7,"ted way forwards  and reforms  focused on  four 
sections : (i) economic drivers, (ii) infrastructure, (iii) inclusion, and (iv) governance .8  
2. Urbanization  of India . India ’s urbanization is gaining pace  as a result of the 
country's improving economic situation . From 1990 to 2022, the urban population has 
steadily increased , growing from 2 6 to 36 percent, bringing the total  number of...","ted way forwards  and reforms  focused on  four 
sections : (i) economic drivers, (ii) infrastructure, (iii) inclusion, and (iv) governance .8  
2. Urbanization  of India . India ’s urbanization is gaining pace  as a result of the 
country's improving economic situation . From 1990 to 2022, the urban population has 
steadily increased , growing from 2 6 to 36 percent, bringing the total  number of  urban 
dweller s to a whopping half a billion .9 It is projected that by 2035, India's urban 
population will reach 675 million, representing  43 percent of the entire population .10 This 
swift urbanization is amplifying  the importance of cities as living spaces and economic 
hubs.  Cities in India make up just 3  percent  of the country's territory, yet they account 
for a staggering 60  percent  of its GDP.11 In recent years, urbanization has improved 
living standards and employment prospects . However , these opportunities  have  also led 
to challenges , such as traffic congestion,  a"
9,9_4,Procurement,7,"ent  of its GDP.11 In recent years, urbanization has improved 
living standards and employment prospects . However , these opportunities  have  also led 
to challenges , such as traffic congestion,  air pollution, and income inequality .12 
 
 
1 World Population Review; India; 2023 (live, consulted in September 2023); ( link). 
2 The World Bank; “ GDP Growth (annual %) – India ”; 2023; ( link). 
...","ent  of its GDP.11 In recent years, urbanization has improved 
living standards and employment prospects . However , these opportunities  have  also led 
to challenges , such as traffic congestion,  air pollution, and income inequality .12 
 
 
1 World Population Review; India; 2023 (live, consulted in September 2023); ( link). 
2 The World Bank; “ GDP Growth (annual %) – India ”; 2023; ( link). 
3 International Monetary Fund; “World Economic Outlook” ; 2023. ( link). 
4 World Bank Poverty and Inequality Portal and Macro Poverty Outlook, Spring 2023 ; (link). 
5 The Indian Express; “ Express View: India’s Road to 2047 ”; 2023; ( link). 
6 The World Bank; “ Gini Index  – India ”; 2023; ( link). 
7 46 percent . Source: The World Bank; “ Employment to population ratio, 15+, total ( percentage ) (modeled 
ILO estimate) - India ”; 2023; ( link). 
8 The first section on drivers focuses on the engines of economic performance in macroeconomic terms,  
the second section on infrastructure deals"
9,9_5,Information Technology,10," ) (modeled 
ILO estimate) - India ”; 2023; ( link). 
8 The first section on drivers focuses on the engines of economic performance in macroeconomic terms,  
the second section on infrastructure deals with the physical foundations of growth , the section on inclusion 
deals with the task of investing in the capabilities of all of India’s citizens , and the final section on governance 
delves deep ..."," ) (modeled 
ILO estimate) - India ”; 2023; ( link). 
8 The first section on drivers focuses on the engines of economic performance in macroeconomic terms,  
the second section on infrastructure deals with the physical foundations of growth , the section on inclusion 
deals with the task of investing in the capabilities of all of India’s citizens , and the final section on governance 
delves deep into how the tasks/business of GOI can be streamlined and reformed to achieve better 
outcomes . Source:  NITI Aayog; “ Strategy for New India@75 ”; 2018; ( link). 
9 World Bank; Databank; ( link). 
10United Nations ; “Habitat’s World Cities Report ”; 2022  (link). 
11 NITI Aayog, Asian Development Bank; “Cities as Engines of Growth (TA -9508: Strengthening the States 
for broad based urban development, Executive Summary)” ; 2022; ( link). 
12 J. Colmer; “ Urbanization , Growth, and Development: Evidence from India ”; London School of Economics; 
(link)."
10,10_1,Information Technology,8,"5 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
3. Indian Transport Context . India's transport sector encompasses diverse 
modes, including road, rail, air, and waterways . Due to rising urbanization, economic 
expansion, and demographic boom , this sector  has seen substantial growth and 
modernization over the last years . India's road network  (more than 6  million km)13 for...","5 
 
 *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  *OFFICIAL USE ONLY  
3. Indian Transport Context . India's transport sector encompasses diverse 
modes, including road, rail, air, and waterways . Due to rising urbanization, economic 
expansion, and demographic boom , this sector  has seen substantial growth and 
modernization over the last years . India's road network  (more than 6  million km)13 forms 
the backbone of the country's transport system  through connecting cities, towns, and 
villages with its vast network The Indian Railways  (renowned for its extensive rail 
network spanning 68,103 km14) serves as a vital transport mean  facilitating the 
movement of millions of individuals and substantial amounts of cargo . The extensive 
navigable inland waterways network  (15,519 km15) also offers tremendous potential for 
effective commercial transport . As of 2018 -19, about 152,000 public  buses catered to 
about 60 million trips per day in the country.16 It is projected that, based o"
10,10_2,Procurement,7,"offers tremendous potential for 
effective commercial transport . As of 2018 -19, about 152,000 public  buses catered to 
about 60 million trips per day in the country.16 It is projected that, based on the current 
average passenger ridership per bus, an additional 460,000 buses will be needed to 
meet the urban public transport demand by the year 2031.17 This need is in addition to 
various other...","offers tremendous potential for 
effective commercial transport . As of 2018 -19, about 152,000 public  buses catered to 
about 60 million trips per day in the country.16 It is projected that, based on the current 
average passenger ridership per bus, an additional 460,000 buses will be needed to 
meet the urban public transport demand by the year 2031.17 This need is in addition to 
various other modes of public transport.  Currently, there are 20 Indian cities with 
functioning metro rail services covering a length of 895 km and allowing approximately 
10 million passengers to avail this metro service per day .18 This dearth of  public 
transport has led to  traffic congestion and high private vehicle ownership, resulting in  
increased road fatalities19 and CO 2 emissions ( in 2020, the transport sector was 
responsible for approximately 13 percent  of all national emissions,20 with 90  percent  of 
them originating from road traffic21). Over the last decade, GOI has been working on"
10,10_3,Information Technology,11," transport sector was 
responsible for approximately 13 percent  of all national emissions,20 with 90  percent  of 
them originating from road traffic21). Over the last decade, GOI has been working on 
various initiatives to modernize and improve the sector  (e.g., conversion to electric mode, 
enhancement  of last -mile connectivity, or integration of multimodal solution s for 
seamless transport..."," transport sector was 
responsible for approximately 13 percent  of all national emissions,20 with 90  percent  of 
them originating from road traffic21). Over the last decade, GOI has been working on 
various initiatives to modernize and improve the sector  (e.g., conversion to electric mode, 
enhancement  of last -mile connectivity, or integration of multimodal solution s for 
seamless transportation ). 
4. Kochi22 Urbanization.  Kochi , a port city located in the southwest coastal area  
of India , is the commercial capital of the state of Kerala . After the economic reforms 
introduced by GOI in the early  1990s , the city's growth  has been propelled  and benefited  
from its strategic location  to become a thriving commercial hub. Since 2000, the service 
sector has boosted  the city's economy . 23 The establishment of technology parks (like 
 
 
13 It includes (i) national highways  (144,634 km ); (ii) state highways  (186,908 km ); and  (iii) other roads  
(5,902,539 km ). Sour"
